cartype;name;short_name
8340;Грузовой вагон 3-вагонной рефсекции;РФРГ3
8390;Грузовые вагоны рефрижераторного поезда или секции, к.п.о.;РФРГПР
8400;Автономные рефрижераторные вагоны;АРВ
8410;Автономные рефрижераторные вагоны со служебным отделением;АРВСО
8420;Автономные рефрижераторные вагоны без служебного отделения;АРВПР
8500;Вагоны-термосы, ледники;ВГТЕР
8570;Цистерны-термосы;ЦСТЕР
8590;Вагоны-термосы, к.п.о.;ВТЕРПР
8600;Ледники, кроме вагонов-ледников для вина;ЛЕД
8610;Вагоны-ледники для вина;ЛЕДВ
8700;Вагоны и секции для живой рыбы;ЖРВ
8710;Вагоны для живой рыбы, одиночные;ЖВР1
8720;Вагоны для живой рыбы, 2-х вагонная секция;ЖВР2
8800;Изотермические рефрижераторные вагоны 6 и 8-осные;РФ8
8990;Вагоны изотермические, к.п.о.;РФПРУ
